Epoch,Train Loss,Test Loss,Train R^2,Test R^2
88,11072.91015625,10593.9248046875,-25.21776580810547,-19.120397567749023
89,11072.91015625,10593.9248046875,-25.21776580810547,-19.120397567749023
90,11072.9169921875,10593.9248046875,-25.217782974243164,-19.120397567749023
91,11072.9169921875,10593.9248046875,-25.217782974243164,-19.120397567749023
92,11072.9208984375,10593.9248046875,-25.217792510986328,-19.120397567749023
93,11072.94140625,10593.9248046875,-25.21784210205078,-19.120397567749023
94,11072.9228515625,10593.9248046875,-25.217798233032227,-19.120397567749023
95,11072.9296875,10593.9248046875,-25.217815399169922,-19.120397567749023
96,11072.9228515625,10593.9248046875,-25.217798233032227,-19.120397567749023
97,11072.916015625,10593.9248046875,-25.21778106689453,-19.120397567749023
98,11072.919921875,10593.9248046875,-25.217788696289062,-19.120397567749023
99,11072.943359375,10593.9248046875,-25.21784782409668,-19.120397567749023
100,11072.9443359375,10593.9248046875,-25.21784782409668,-19.120397567749023
